2026.09.17 10:06:34 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:34 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:36 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:36 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:37 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:37 WARN  no build target for: C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala
2026.09.17 10:06:37 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:36 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:06:37 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:07:29 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:07:29 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:07:30 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
2026.09.17 10:07:30 INFO  no build target found for C:\Users\AlumnoM_AI\Desktop\Clases\17-09-2026\borradores\Parte3_proyectoscala\torneo-twenty-one\src\main\scala\Main.scala. Using presentation compiler with project's scala-library version: 3.3.8
